,message_id,date,text,tags,tweet_lang,source,place,geom,retweets,tweet_favorites,photo_url,quoted_status_id,user_id,user_name,user_location,followers,friends,user_favorites,status,user_lang,latitude,longitude,data_source,keywords,sentiment,county_id,tweet_integer,tweet_positive,tweet_negative
68334,1.58531e+18,26/10/2022 16:44,"@AnthonyCardano If theyre not in the Twitter spaces with us, then theyre not managing the community.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Paradise, NV","POLYGON ((-115.209254 35.984784, -115.209254 36.137145, -115.061076 36.137145, -115.061076 35.984784, -115.209254 35.984784))",0,0,,-1.0,1.18821e+18,NaughtySofa,Cardano Blockchain,587,1389,5180,5316,,,,[3],True,neutral,3163,1,,
9955,1.57855e+18,08/10/2022 01:08,Nebraska football always seems to bring out the best in people on Twitter.,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gretna, NE","POLYGON ((-96.262987 41.120003, -96.262987 41.175967, -96.215644 41.175967, -96.215644 41.120003, -96.262987 41.120003))",0,0,,-1.0,153649273.0,dsecora65,"Gretna, NE",388,501,4569,1336,,,,[3],True,positive,1747,1,1.0,
51511,1.59344e+18,18/11/2022 02:52,#TwitterIsOverParty I hate italians,TwitterIsOverParty,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Boulder, CO","POLYGON ((-105.301776 39.953552, -105.301776 40.094411, -105.183597 40.094411, -105.183597 39.953552, -105.301776 39.953552))",0,0,,-1.0,1.17654e+18,schneidawgg,he/they,134,308,33436,2303,,,,[3],True,negative,2522,1,,1.0
52076,1.59089e+18,11/11/2022 02:29,FTC warns no CEO or company is above the law if Twitter shirks privacy order https://t.co/e6zQFvr0mJ https://t.co/lEQ1WkCWR0,,en,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Hockessin, DE",POINT (-75.69757755000001 39.78652499),1,0,,-1.0,9.48014e+17,igor_os777,"Delaware, USA",11944,12850,33874,22080,,,,[1],True,neutral,1203,1,,
53768,1.59348e+18,18/11/2022 05:45,Me voy a lanzar un tuit de fritanga para poder irme como los grandes. #TwitterOFF,TwitterOFF,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Davie, FL","POLYGON ((-80.369507 26.029537, -80.369507 26.126804, -80.20087100000001 26.126804, -80.20087100000001 26.029537, -80.369507 26.029537))",0,0,,-1.0,2513854743.0,_Sobrio,South Florida ,9708,2767,29721,16134,,,,[3],True,neutral,2485,1,,
20972,1.58974e+18,07/11/2022 21:49,@slw_washington @LouiseMensch @Twitter Thank you!,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Seattle, WA","POLYGON ((-122.436232 47.495315, -122.436232 47.734319, -122.224973 47.734319, -122.224973 47.495315, -122.436232 47.495315))",0,0,,-1.0,3185650226.0,KerriMickelsen,"Seattle, WA",2471,3503,388953,11888,,,,[3],True,positive,3064,1,1.0,
37533,1.59403e+18,19/11/2022 18:00,@yfnowl @JohnathanPerk @LinimentCake @knitquiltsewst1 @haikudegras And your thesis is that Black people will gain more political power by not pointing out racism on Twitter,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mount Horeb, WI","POLYGON ((-89.752893 42.993218, -89.752893 43.021079, -89.702539 43.021079, -89.702539 42.993218, -89.752893 42.993218))",0,0,,-1.0,242876499.0,robchappell365,"Madison, WI",1319,426,19023,17633,,,,[3],True,negative,618,1,,1.0
56789,1.59272e+18,16/11/2022 03:28,@TomFitton @elonmusk @Twitter What is wrong with you?,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","West Palm Beach, FL","POLYGON ((-80.20059999999999 26.644671, -80.20059999999999 26.799121, -80.044639 26.799121, -80.044639 26.644671, -80.20059999999999 26.644671))",0,0,,-1.0,1.53253e+18,RRunevitch,"West Palm Beach, FL",64,583,3177,1329,,,,[3],True,negative,903,1,,1.0
56149,1.57667e+18,02/10/2022 20:20,"I truly dislike getting into Twitter feudsbut when I see such a blatant display of misinformation, I will call you out on it. 

This person refuses to delete her tweet. I have reported her.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Windermere, FL","POLYGON ((-81.549459 28.485861, -81.549459 28.515363, -81.510379 28.515363, -81.510379 28.485861, -81.549459 28.485861))",0,0,,1.57655e+18,2920301096.0,KathleenKFL,"Windermere, FL",2033,2440,5766,4163,,,,[3],True,negative,1174,1,,1.0
60163,1.59343e+18,18/11/2022 02:15,"@Duck_Ehlinger I hope, but wtf is Elon doing",,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","North Manchester, IN","POLYGON ((-85.795209 40.986226, -85.75369000000001 40.986226, -85.75369000000001 41.026847, -85.795209 41.026847, -85.795209 40.986226))",0,1,,-1.0,9.39278e+17,cashmoneyfork,IN,765,1621,94452,22455,,,,[1],True,neutral,1247,1,,
84526,1.57746e+18,05/10/2022 00:51,"@Ipsofacto123 Yes, I'm still going to point out when someone is teaching Sunday School on Twitter, Rusty.

Just because they HEARD it in Sunday School doesn't make it TRUE. https://t.co/F0BWtnfsfB",,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Franklin, TN","POLYGON ((-86.935419 35.85036, -86.935419 36.019674, -86.76693400000001 36.019674, -86.76693400000001 35.85036, -86.935419 35.85036))",0,0,http://pbs.twimg.com/media/FeREzJ9XoAElrYs.jpg,-1.0,2558048480.0,RealYeshua1,TN USA Blue/Green Planet Earth,3954,4071,372507,178567,,,,[3],True,neutral,1639,1,,
67917,1.57848e+18,07/10/2022 20:16,"Ive been dropped like Jordan Poole. A couple times lol.

Twitter wasnt there to defend me. No lawsuits. I simply learned not to act like I want problems if, in fact, I do not want problems.

I know its shocking to some of you, but some dudes out there really will hit you.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lincoln, NE","POLYGON ((-96.806031 40.710053, -96.806031 40.896417, -96.58709399999999 40.896417, -96.58709399999999 40.710053, -96.806031 40.710053))",0,0,,-1.0,30184537.0,EdawTheGreat,"Lincoln, NE",106,997,2947,1162,,,,[3],True,negative,375,1,,1.0
44139,1.59377e+18,19/11/2022 00:51,@elonmusk @RyanAFournier If Twitter gonna be gone who will use it,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Westmont, CA","POLYGON ((-118.317776 33.930952, -118.317776 33.959516, -118.291549 33.959516, -118.291549 33.930952, -118.317776 33.930952))",0,0,,-1.0,1.00374e+18,Zeowolfrider300,"Los Angeles, CA",321,1838,914,6380,,,,[3],True,neutral,2466,1,,
62650,1.59e+18,08/11/2022 14:56,"@Jorriss Not a fan or endorsing either but given the limited options, Ive snagged an account there as well as https://t.co/2vMb7SYrUa. Still rooting for Twitter or a viable non-segmented / stovepiped alternative.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sykesville, MD","POLYGON ((-76.98835099999999 39.361084, -76.98835099999999 39.384689, -76.958 39.384689, -76.958 39.361084, -76.98835099999999 39.361084))",0,0,,-1.0,363251387.0,BrianLawton,"Sykesville, MD",568,3269,13169,2117,,,,[3],True,neutral,1276,1,,
74238,1.59487e+18,22/11/2022 01:44,@ChrisCuomo The @USSupremeCourt has ruled many times that #FreeSpeech has boundaries. Twitter is no exception. There should be (as there are) consequences & accountability for our words. Social Media should not be the exception. #TheGreatDebate,"FreeSpeech,TheGreatDebate",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Clayton Opera House,"POLYGON ((-76.086822 44.242557, -76.086822 44.242557, -76.086822 44.242557, -76.086822 44.242557, -76.086822 44.242557))",0,0,,-1.0,1.47451e+18,RiverRatDoc,Grindstone Island,26,77,835,1624,,,,[3],True,neutral,3150,1,,
53366,1.57841e+18,07/10/2022 15:23,"@DanOsnaya Pero tienes más de 8000 mil likes. Eso es el twitter cuando lo usas como lo usas tú, sacrificas tu paz mental por un número :)  Pd: los tweets menos maliciosos no dan tantos likes pero al menos estás tranquila . Suerte en twitterlandia",,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sunrise, FL","POLYGON ((-80.363112 26.119383, -80.363112 26.193854, -80.22667300000001 26.193854, -80.22667300000001 26.119383, -80.363112 26.119383))",0,0,,-1.0,48591465.0,jonny_stack,"Miami, FL",96429,78731,12199,44039,,,,[3],True,neutral,2485,1,,
3001,1.59493e+18,22/11/2022 05:55,@elonmusk Twitter is better then Hulu or Disney right now!  Gotta love Twitter since the master dude of all dudes bought it.  Nothing like freedom of speech!  I almost forgot what it meant Elon!  Thank You!  See you on Mars!,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Port Charlotte, FL","POLYGON ((-82.174795 26.953081, -82.174795 27.032115, -82.05755499999999 27.032115, -82.05755499999999 26.953081, -82.174795 26.953081))",0,0,,-1.0,1.42063e+18,FLAGator5,,5,103,59,527,,,,[3],True,positive,2186,1,1.0,
90070,1.58714e+18,31/10/2022 17:36,"When Auburn took Harsin from Boize, I tweeted I didnt like the hire for the SEC. Man, the Auburn twitter fandom came at me with their piss hot saying just worry about little league football in the P12. Cheers Auburn, this tea tastes great. #GoDucks",GoDucks,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SeaTac, WA","POLYGON ((-122.326102 47.396426, -122.326102 47.48874, -122.266875 47.48874, -122.266875 47.396426, -122.326102 47.396426))",0,0,,-1.0,355758498.0,TheNxtChipKelly,Eugene,444,1507,21383,6322,,,,[3],True,negative,3064,1,,1.0
64174,1.58348e+18,21/10/2022 15:10,@FfacevonFstick @DineshDSouza @elonmusk They seem to spend all their time on Twitter anyway. He wouldnt even have to pay them.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reading, MA","POLYGON ((-71.136186 42.500059, -71.136186 42.566505, -71.071029 42.566505, -71.071029 42.500059, -71.136186 42.500059))",0,0,,-1.0,112725447.0,Carpetbagger_68,"Reading, MA",775,1700,24054,8798,,,,[3],True,neutral,3145,1,,
42303,1.59404e+18,19/11/2022 18:55,"If @elonmusk is serious about restoring free speech here he will restore Trump immediately. I think his poll is just an opportunity to pull our legs-which I like about Elon. Besides, Trump says he wont come back here.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cameron Park, CA","POLYGON ((-121.033013 38.65476, -121.033013 38.726092, -120.924554 38.726092, -120.924554 38.65476, -121.033013 38.65476))",0,0,,-1.0,3480694337.0,touchyterrapin,,4035,4805,14032,38251,,,,[3],True,neutral,2910,1,,
32326,1.59034e+18,09/11/2022 13:39,Since I'm in a mood this morning may as well state the obvious that Elon is a little pussy bitch and he can ban me from this shitsite unless he is too busy visiting Ghislaine in jail ??,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Roslyn Heights, NY","POLYGON ((-73.65820600000001 40.759648, -73.65820600000001 40.793575, -73.623811 40.793575, -73.623811 40.759648, -73.65820600000001 40.759648))",0,0,,-1.0,47846118.0,SixMylesUnder,New York,185,29,11430,5173,,,,[3],True,negative,1009,1,,1.0
83402,1.58387e+18,22/10/2022 16:57,"Elon Musk will be the proud owner of Twitter: Mark Mahaney  https://t.co/R0DV9rse2v
Elon Musk has discovered that all of his financial resources arent much help picking up 800 lbs of jello.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sumter, SC","POLYGON ((-80.501997 33.863735, -80.501997 34.011051, -80.303369 34.011051, -80.303369 33.863735, -80.501997 33.863735))",0,0,,-1.0,1.36206e+18,walterp73438633,,203,448,4477,4223,,,,[3],True,neutral,2064,1,,
50164,1.59454e+18,21/11/2022 04:01,Is CBS staffed by a bunch of ex-Twitter employees? Security concerns!? Take a look at history and see who all has referred to free speech as security concerns? What a bunch of pinko commie scumbags.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Camarillo, CA","POLYGON ((-119.109824 34.191355, -119.109824 34.2593, -118.958874 34.2593, -118.958874 34.191355, -119.109824 34.191355))",0,0,,1.59434e+18,1.58985e+18,DanielGSoCal,"Camarillo, CA",5,72,532,76,,,,[3],True,negative,2435,1,,1.0
97511,1.58643e+18,29/10/2022 18:42,Congratulations Chief Twit @elonmusk Hope Now twitter users get some real fun to use this platform. Including me ?? https://t.co/rhqs2Zr7ze,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Santa Clarita, CA","POLYGON ((-118.6278742 34.3474831, -118.3786434 34.3474831, -118.3786434 34.483779, -118.6278742 34.483779, -118.6278742 34.3474831))",1,9,,-1.0,1.09129e+18,mukitalelahi,"Santa Clarita, CA",9,62,13,16,,,,[1],True,positive,2466,1,1.0,
20643,1.58581e+18,28/10/2022 01:34,Im not leaving @Twitter and neither should you! https://t.co/Ejj2Bg0G8t,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Seattle, WA","POLYGON ((-122.436232 47.495315, -122.436232 47.734319, -122.224973 47.734319, -122.224973 47.495315, -122.436232 47.495315))",0,0,http://pbs.twimg.com/media/FgHrINkaUAAwi6X.jpg,-1.0,1096891.0,MasterRobyn,"Seattle, WA",1155,846,14418,30618,,,,[3],True,positive,3064,1,1.0,
97521,1.57881e+18,08/10/2022 18:03,Skateboarding on the weekends usually starts here for me. This place is literally keeping me on my board ???? @stretchlab #skatelife #skateTWITTER https://t.co/iRipk6scpW,"skatelife,skateTWITTER",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",StretchLab,"POLYGON ((-118.109581 33.757325, -118.109581 33.757325, -118.109581 33.757325, -118.109581 33.757325, -118.109581 33.757325))",0,0,http://pbs.twimg.com/media/FekN4q_VEAIi128.jpg,-1.0,173352899.0,kiPOD_SCUFFLE,internationally known,379,358,1251,10226,,,,[3],True,positive,2466,1,1.0,
80014,1.58684e+18,30/10/2022 22:11,"@Rehof_Light @kylegriffin1 I was wondering the same. I also primarily use Twitter for Kyles news along with a few others, and would like to find him elsewhere. I feel I will be leaving this site soon.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hillsboro, OR","POLYGON ((-123.011705 45.488124, -123.011705 45.573434, -122.859355 45.573434, -122.859355 45.488124, -123.011705 45.488124))",0,0,,-1.0,8.93636e+17,leslie_barile,"Portland, OR",160,313,23247,17929,,,,[3],True,negative,2239,1,,1.0
96432,1.5775e+18,05/10/2022 03:42,@SjvTesla @Twitter Same. Nothing too unusual. ?? https://t.co/mUAHDlvBfZ,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Torrance, CA","POLYGON ((-118.394086 33.780441, -118.394086 33.886988, -118.308349 33.886988, -118.308349 33.780441, -118.394086 33.780441))",0,0,http://pbs.twimg.com/media/FeRr6eZUYAA6LBm.jpg,-1.0,1.11538e+18,teslascope,Worldwide,15819,122,7559,7278,,,,[3],True,positive,2466,1,1.0,
80662,1.58577e+18,27/10/2022 22:47,@geostylegeo Wait. People use Twitter for amusement and entertainment? Have I been using the wrong app this whole time?,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oil City, PA","POLYGON ((-79.733503 41.405168, -79.733503 41.459404, -79.673136 41.459404, -79.673136 41.405168, -79.733503 41.405168))",0,0,,-1.0,25254069.0,mattcroyle,Earth,2620,5002,22376,34754,,,,[3],True,negative,2069,1,,1.0
15850,1.59068e+18,10/11/2022 12:11,@Tmoms I love that this tweet  randomly showing in my feed is how I learned Tmoms has a Twitter account??,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Media, PA","POLYGON ((-75.39964000000001 39.912234, -75.39964000000001 39.929685, -75.37784499999999 39.929685, -75.37784499999999 39.912234, -75.39964000000001 39.912234))",0,0,,-1.0,81226602.0,sacrilicious713,"Philadelphia, PA",170,461,22492,12918,,,,[3],True,positive,3144,1,1.0,
48461,1.59343e+18,18/11/2022 02:30,Before twitter goes down who wanna admit they got a crush on me?,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","El Cajon, CA","POLYGON ((-117.009833 32.767506, -117.009833 32.831001, -116.894872 32.831001, -116.894872 32.767506, -117.009833 32.767506))",0,0,,-1.0,1.39007e+18,_spitmyrage,"San Diego, CA",161,194,36,392,,,,[3],True,neutral,2948,1,,
56078,1.59443e+18,20/11/2022 20:39,Elon bringing back all the celebrity suspended accounts for the Twitter closing ceremonies I see,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alafaya, FL","POLYGON ((-81.244501 28.489488, -81.244501 28.568794, -81.125632 28.568794, -81.125632 28.489488, -81.244501 28.489488))",0,0,,-1.0,452230336.0,StephCurryGoat,"Orlando, FL",739,507,20306,57004,,,,[3],True,neutral,1174,1,,
9844,1.58929e+18,06/11/2022 16:03,Agatha loves making trails in snow. #CorgiCrew #CorgiCrew #DogsOnTwitter https://t.co/8FUP9MBiZ8 https://t.co/9JGzUa4j7j,"CorgiCrew,CorgiCrew,DogsOnTwitter",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Missoula, MT","POLYGON ((-114.1203252 46.780202, -113.941975 46.780202, -113.941975 46.977998, -114.1203252 46.977998, -114.1203252 46.780202))",1,10,"http://pbs.twimg.com/ext_tw_video_thumb/1589287306745155585/pu/img/0WDUA8iT-SiyjAyH.jpg,http://pbs.twimg.com/media/Fg5IYpUUoAEk7Lf.jpg",-1.0,56288451.0,desertrunnerdud,,81,225,3994,1667,,,,[1],True,positive,2918,1,1.0,
45523,1.58188e+18,17/10/2022 05:21,@Twitter @verified can we please verified @TylerLawrenceG already?,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Santa Clarita, CA","POLYGON ((-118.627874 34.347483, -118.627874 34.483779, -118.378643 34.483779, -118.378643 34.347483, -118.627874 34.347483))",0,0,,-1.0,945993090.0,heyjdream,J's L's H's D²'s A²'s C³'s Fs,8705,544,340039,266316,,,,[3],True,neutral,2466,1,,
41817,1.59417e+18,20/11/2022 03:39,"@elonmusk @nypost Well with respect twitter overlord, you didn't think it would only be the advertisers who left Twitter if you brought trump back did you ?",,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Livermore, CA","POLYGON ((-121.823726 37.63653, -121.823726 37.730654, -121.696432 37.730654, -121.696432 37.63653, -121.823726 37.63653))",0,0,,-1.0,1.39182e+18,PatrickHall1701,The World,1103,4993,4944,10884,,,,[3],True,neutral,1237,1,,
49304,1.58176e+18,16/10/2022 21:44,I keep forgetting I can't come on Twitter for a few days cause the niners lost,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Modesto, CA","POLYGON ((-121.074342 37.59485, -121.074342 37.732784, -120.900594 37.732784, -120.900594 37.59485, -121.074342 37.59485))",0,0,,-1.0,1.44872e+18,VonKoepke,"Modesto, CA",325,941,34534,7039,,,,[3],True,negative,1236,1,,1.0
26867,1.57731e+18,04/10/2022 15:09,@Tauschhandel @ClaireFosterPHD Anyone who puts PhD in their Twitter handle IS a parody.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","University, FL","POLYGON ((-82.45491 28.054805, -82.45491 28.098918, -82.409812 28.098918, -82.409812 28.054805, -82.45491 28.054805))",0,0,,-1.0,64579004.0,cgrapski,"Kissimmee, FL, USA",1470,2328,29174,98776,,,,[3],True,negative,2373,1,,1.0
95691,1.58984e+18,08/11/2022 04:48,"Hmmmmmmm?? the more you hate, the more you love Elon!????AOC and you, should have a tea for two??! That Rooster for AOC?? looks cool in pink! Nice color ??Elon!????????",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ione, CA","POLYGON ((-120.964866 38.340495, -120.964866 38.383642, -120.92492 38.383642, -120.92492 38.340495, -120.964866 38.340495))",0,0,,1.58898e+18,39204089.0,Ghie1104,USA,105,514,3455,2543,,,,[3],True,positive,1847,1,1.0,
51729,1.5799e+18,11/10/2022 18:03,Oh Philly aint playing with Atlanta today #MLBtwitter #MLBPostseason,"MLBtwitter,MLBPostseason",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hartford, CT","POLYGON ((-72.718386 41.723759, -72.643547 41.723759, -72.643547 41.807475, -72.718386 41.807475, -72.718386 41.723759))",0,2,,-1.0,2669912101.0,SheKnowsSports,"Hartford, CT",16295,3018,99084,54238,,,,[1],True,neutral,2926,1,,
53195,1.5887e+18,05/11/2022 01:19,@elonmusk @TomFitton @Twitter @yoyoel @JudicialWatch Why are all of my friends tweets marked sensitive @aTeXan575 https://t.co/x8Kf11VHfL,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Palm Bay, FL","POLYGON ((-80.737408 27.910056, -80.737408 28.063838, -80.566228 28.063838, -80.566228 27.910056, -80.737408 27.910056))",0,0,http://pbs.twimg.com/media/Fgw0iurXkAAXtH4.jpg,-1.0,1.08858e+18,Rick09164623,,408,424,20134,18150,,,,[3],True,negative,2331,1,,1.0
